regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,1e-08,6.906754778616077,3.751057624234999e-14,0.0010010010010035025,0.001001001001041013,999,999,0.8,0.2,200
decoupled,gd,1.018600774363882e-08,6.906754778615499,3.81979604197058e-14,0.00100100100100353,0.001001001001041728,999,999,0.8,0.2,200
decoupled,gd,1.0375475375346978e-08,6.906754778614864,3.888686248010309e-14,0.00100100100100361,0.0010010010010424969,999,999,0.8,0.2,200
decoupled,gd,1.0568467251721823e-08,6.90675477861423,3.964970712866389e-14,0.0010010010010036376,0.0010010010010432873,999,999,0.8,0.2,200
decoupled,gd,1.0765048926443176e-08,6.906754778613582,4.03743878607532e-14,0.001001001001003707,0.0010010010010440813,999,999,0.8,0.2,200
decoupled,gd,1.0965287172540073e-08,6.906754778612942,4.1141569318003945e-14,0.0010010010010037354,0.001001001001044877,999,999,0.8,0.2,200
decoupled,gd,1.116925000507166e-08,6.906754778612283,4.186451532661728e-14,0.0010010010010038154,0.0010010010010456799,999,999,0.8,0.2,200
decoupled,gd,1.1377006704229762e-08,6.906754778611624,4.2654031348621224e-14,0.0010010010010038438,0.0010010010010464978,999,999,0.8,0.2,200
decoupled,gd,1.1588627838871512e-08,6.906754778610916,4.343617479585227e-14,0.0010010010010039275,0.0010010010010473636,999,999,0.8,0.2,200
decoupled,gd,1.1804185290489364e-08,6.906754778610239,4.4247158020871424e-14,0.0010010010010039567,0.001001001001048204,999,999,0.8,0.2,200
decoupled,gd,1.2023752277627186e-08,6.906754778609521,4.510519562017645e-14,0.001001001001003986,0.0010010010010490912,999,999,0.8,0.2,200
decoupled,gd,1.2247403380750541e-08,6.9067547786087795,4.592832190952745e-14,0.0010010010010040706,0.001001001001049999,999,999,0.8,0.2,200
decoupled,gd,1.2475214567579327e-08,6.906754778608048,4.680934459488917e-14,0.001001001001004099,0.0010010010010509083,999,999,0.8,0.2,200
decoupled,gd,1.2707263218891858e-08,6.906754778607301,4.7636157171626614e-14,0.0010010010010041844,0.0010010010010518206,999,999,0.8,0.2,200
decoupled,gd,1.2943628154808923e-08,6.9067547786065475,4.85421165069555e-14,0.0010010010010042137,0.0010010010010527558,999,999,0.8,0.2,200
decoupled,gd,1.3184389661566513e-08,6.9067547786057375,4.945176212967084e-14,0.001001001001004298,0.0010010010010537498,999,999,0.8,0.2,200
decoupled,gd,1.3429629518786783e-08,6.906754778604926,5.036205827368967e-14,0.0010010010010043835,0.0010010010010547455,999,999,0.8,0.2,200
decoupled,gd,1.3679431027256266e-08,6.906754778604149,5.129317109942022e-14,0.0010010010010044136,0.0010010010010557068,999,999,0.8,0.2,200
decoupled,gd,1.3933879037220545e-08,6.9067547786033145,5.222753653166823e-14,0.0010010010010045017,0.0010010010010567292,999,999,0.8,0.2,200
decoupled,gd,1.4193059977205481e-08,6.90675477860249,5.322131624296844e-14,0.0010010010010045329,0.0010010010010577542,999,999,0.8,0.2,200
